id,title,description,"google product category",product_type,link,"image link",condition,availability,price,"sale price",brand,gtin,gender,color,size,"size type","item group id"
142577,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-dark-sapphire-large-190542726398.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N433_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726398,men,"Dark Sapphire",00L|0OS,Regular,0A1S2N
142579,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-darkest-spruce-x-large-190542726428.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2NE20_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726428,men,"Darkest Spruce",0XL|0OS,Regular,0A1S2N
142582,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-dark-sapphire-x-large-190542726497.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N433_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726497,men,"Dark Sapphire",0XL|0OS,Regular,0A1S2N
142583,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-white-small-190542726510.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N100_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726510,men,White,00S|0OS,Regular,0A1S2N
142584,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-darkest-spruce-2-x-large-190542726541.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2NE20_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726541,men,"Darkest Spruce",XXL|0OS,Regular,0A1S2N
142588,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-white-medium-190542726619.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N100_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726619,men,White,00M|0OS,Regular,0A1S2N
142593,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-white-large-190542726718.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N100_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726718,men,White,00L|0OS,Regular,0A1S2N
142596,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-white-x-large-190542726787.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N100_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726787,men,White,0XL|0OS,Regular,0A1S2N
142603,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-rosewood-small-190542726930.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2NE70_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726930,men,Rosewood,00S|0OS,Regular,0A1S2N
142604,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-rosewood-medium-190542726954.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2NE70_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726954,men,Rosewood,00M|0OS,Regular,0A1S2N
